jobId,channel,messageId,company,createdAt,outcome,verdict,score,oldUrl,newUrl,written,reason,candidates
6a99abba23fa510f22ff84fe,offcampusjobs4u,20988,Google,2026-09-03T17:17:46.235Z,repaired,direct,9,https://offcampusjobs4u.com/google-recruitment-2026-silicon-engineer-bangalore-hyderabad/,https://google.com/about/careers/applications/jobs/results/73379279982731974-silicon-engineer-platform-and-devices-university-graduate-2026?q=university+graduate&location=India,yes,"host matches the company; path names a posting or form; labelled ""Click Here to Apply Online"" (highest)",
6a99abaa78c9020ac26f68a9,job4fresherss,19660,Genpact,2026-09-03T17:17:30.503Z,flagged,aggregator,,https://job4freshers.co.in/genpact-walk-in-drive-ca-cma/,,yes,aggregator page had no apply candidate,
6a99abba23fa510f22ff84fe,offcampusjobs4u,20988,Google,2026-09-03T17:17:46.235Z,repaired,direct,9,https://offcampusjobs4u.com/google-recruitment-2026-silicon-engineer-bangalore-hyderabad/,https://google.com/about/careers/applications/jobs/results/73379279982731974-silicon-engineer-platform-and-devices-university-graduate-2026?q=university+graduate&location=India,no,"host matches the company; path names a posting or form; labelled ""Click Here to Apply Online"" (highest)",
6a99ab9378c9020ac26f67fc,fresher_offcampus_drives,5867,Fujitsu,2026-09-03T17:17:07.680Z,repaired,direct,7,https://offcampusjobdrives.com/fujitsu-recruitment-for-junior-data-engineer/,https://jobs.global.fujitsu.com/job/Application-Development/10854-en_US,yes,host matches the company; path names a posting or form (high),
6a99abba23fa510f22ff84fe,offcampusjobs4u,20988,Google,2026-09-03T17:17:46.235Z,repaired,direct,9,https://offcampusjobs4u.com/google-recruitment-2026-silicon-engineer-bangalore-hyderabad/,https://google.com/about/careers/applications/jobs/results/73379279982731974-silicon-engineer-platform-and-devices-university-graduate-2026?q=university+graduate&location=India,no,"host matches the company; path names a posting or form; labelled ""Click Here to Apply Online"" (highest)",
6a9997bf23fa510f22ff84fd,freshershunt,29944,Microsoft,2026-09-03T15:52:31.709Z,flagged,aggregator,,https://freshershunt.in/microsoft-software-engineering-internship-2026/,,yes,aggregator page had no apply candidate,
6a99973f23fa510f22ff83a5,careerwithasr,2957,Amazon,2026-09-03T15:50:23.222Z,flagged,unresolvable,,,,yes,no URL,
6a99973023fa510f22ff836f,offcampusjobs4u,20987,Fujitsu,2026-09-03T15:50:08.685Z,repaired,direct,,https://www.jobs.global.fujitsu.com/job/Software-Engineer-Apprentice/11840-en_US,https://jobs.global.fujitsu.com/job/Software-Engineer-Apprentice/11840-en_US,yes,jobs.global.fujitsu.com matches the posting's company,
6a9985f489c36724d3af73f3,job4fresherss,19659,Accenture,2026-09-03T14:36:36.480Z,flagged,aggregator,,https://job4freshers.co.in/accenture-walk-in-customer-support/,,yes,aggregator page had no apply candidate,
6a9985e189c36724d3af73ea,goyalarsh,6339,Youtube,2026-09-03T14:36:17.392Z,repaired,direct,,https://www.google.com/about/careers/applications/jobs/results/104532643365692102-software-engineer-youtube,https://google.com/about/careers/applications/jobs/results/104532643365692102-software-engineer-youtube,yes,path names a posting or an application form,
6a99ab9778c9020ac26f6809,placementdriveofficial,12881,,2026-09-03T17:17:11.296Z,repaired,direct,7,https://pdlink.in/4xBP1R1,https://jobs.lever.co/brillio-2/4c02f8f0-28dd-4cee-bd6f-04933c8a4505,yes,"trusted ATS domain; labelled ""Click Here To Apply"" (high)",
6a99857789c36724d3af726e,offcampusjobs4u,20986,HPE,2026-09-03T14:34:31.899Z,repaired,direct,,https://careers.hpe.com/us/en/job/1209106/WLAN-Engineer?utm_source=linkedin,https://careers.hpe.com/us/en/job/1209106/WLAN-Engineer,yes,careers.hpe.com matches the posting's company,
6a9997bb23fa510f22ff84fc,freshershunt,29945,Apple,2026-09-03T15:52:27.875Z,flagged,aggregator,,https://freshershunt.in/citi-java-developer-off-campus-drive-2026/,,yes,aggregator page had no apply candidate,
6a9985ae89c36724d3af732c,placementdriveofficial,12880,,2026-09-03T14:35:26.803Z,flagged,aggregator,,https://pdlink.in/4qSe7Z7,,yes,aggregator page had no apply candidate,
6a9975a7c60accf85fb96ba6,careerwithasr,2956,Microsoft,2026-09-03T13:27:03.538Z,repaired,direct,,https://apply.careers.microsoft.com/careers/job/1970393556978214,https://apply.careers.microsoft.com/careers/job/1970393556978214,yes,apply.careers.microsoft.com matches the posting's company,
6a9975a5c60accf85fb96b9f,offcampusjobs4u,20985,Yash Technologies,2026-09-03T13:27:01.836Z,repaired,direct,,https://careers.yash.com/job/Pune-Trainee-Consultant-SAP-IBP-Job/1362900566/,https://careers.yash.com/job/Pune-Trainee-Consultant-SAP-IBP-Job/1362900566,yes,careers.yash.com matches the posting's company,
6a9965b996a165aba0d4aa77,job4fresherss,19658,Wipro,2026-09-03T12:19:05.944Z,repaired,direct,,https://careers.wipro.com/job/Mumbai-Associate-analyst-IND-400708/196863-en_US/,https://careers.wipro.com/job/Mumbai-Associate-analyst-IND-400708/196863-en_US,yes,careers.wipro.com matches the posting's company,
